                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.9787,                 3.6447,                  2.054,                0.41898,                0.38301,                0.06938,                0.02195,                 1.9916,                 45.879,                 3.0638,             0.00046998,             0.00046998,             0.00046998
                      2,                 2.0394,                 2.6691,                 2.1243,                0.00037,                0.11373,                0.00026,                  8e-05,                 2.8836,                    inf,                 66.748,             0.00093695,             0.00093695,             0.00093695
                      3,                 1.9975,                 2.5229,                 2.0378,                0.33938,                0.05229,                0.00235,                0.00102,                 2.6758,                 9.9887,                  3.022,              0.0013945,              0.0013945,              0.0013945
                      4,                 2.0625,                 2.4848,                 2.0555,                0.74665,                0.07843,                 0.0736,                0.02282,                 2.4603,                 6.7209,                 2.8479,              0.0013866,              0.0013866,              0.0013866
                      5,                  1.947,                 2.4003,                 1.9985,                0.49593,                0.12418,                0.12864,                0.05169,                 2.3178,                 4.4975,                 2.9038,              0.0013866,              0.0013866,              0.0013866
                      6,                 1.8742,                  2.182,                 1.9006,                0.54351,                0.21176,                0.18089,                0.07299,                 2.2898,                 3.1962,                 2.6542,              0.0013724,              0.0013724,              0.0013724
                      7,                 1.8651,                 2.1431,                 1.9125,                 0.8251,                0.14804,                0.14522,                0.05768,                 2.6248,                 2.8536,                 2.6294,              0.0013583,              0.0013583,              0.0013583
                      8,                 1.8591,                 2.0675,                 1.8901,                0.50266,                0.27257,                0.26149,                0.09856,                 1.7518,                 2.5162,                 1.9486,              0.0013441,              0.0013441,              0.0013441
                      9,                 1.7979,                 1.9877,                 1.8331,                0.50432,                0.17212,                0.20975,                0.08235,                 1.9495,                 2.9388,                 2.3626,                0.00133,                0.00133,                0.00133
                     10,                  1.792,                 1.8599,                 1.8072,                  0.887,                0.20394,                0.30781,                0.10887,                 2.3869,                 2.3037,                 2.5544,              0.0013158,              0.0013158,              0.0013158
                     11,                 1.7343,                 1.7875,                 1.7492,                0.87103,                0.20915,                0.28167,                 0.1303,                 1.7152,                 2.3033,                 2.0217,              0.0013017,              0.0013017,              0.0013017
                     12,                 1.7096,                 1.8227,                 1.7415,                0.53842,                0.41569,                0.38033,                0.17611,                 1.9267,                 1.8861,                  2.068,              0.0012875,              0.0012875,              0.0012875
                     13,                 1.7132,                 1.7303,                 1.7426,                0.44183,                0.33764,                0.37361,                0.16489,                  1.923,                 2.2731,                 2.1279,              0.0012734,              0.0012734,              0.0012734
                     14,                 1.6898,                 1.6655,                 1.7019,                 0.7613,                0.27712,                0.46362,                0.22461,                 2.0011,                 2.1946,                 2.1157,              0.0012592,              0.0012592,              0.0012592
